Timestamp,Username,Event,Details
2026-08-25 14:17:13,Tina,Face Absent,No face detected
2026-08-25 14:17:13,Tina,Face Present,Student returned after 2.2 seconds
2026-08-25 14:17:25,Tina,Face Absent,No face detected
2026-08-25 14:17:28,Tina,Face Present,Student returned after 0.3 seconds
2026-08-25 14:18:00,Tina,Face Absent,No face detected
2026-08-25 14:18:07,Tina,Face Present,Student returned after 7.0 seconds
2026-08-25 14:18:10,Tina,Face Absent,No face detected
2026-08-25 14:18:12,Tina,Face Present,Student returned after 4.4 seconds
2026-08-25 14:18:15,Tina,Face Absent,No face detected
2026-08-25 14:18:17,Tina,Face Present,Student returned after 4.0 seconds
2026-08-25 14:18:20,Tina,Face Absent,No face detected
2026-08-25 14:18:22,Tina,Face Present,Student returned after 4.0 seconds
2026-08-25 14:19:16,Tina,Face Absent,No face detected
2026-08-25 14:19:19,Tina,Face Present,Student returned after 0.2 seconds
2026-08-25 14:19:34,Tina,Face Absent,No face detected
2026-08-25 14:19:36,Tina,Face Present,Student returned after 3.2 seconds
2026-08-25 14:19:38,Tina,Face Absent,No face detected
2026-08-25 14:19:52,Tina,Face Present,Student returned after 8.3 seconds
2026-08-25 14:19:56,Tina,Face Absent,No face detected
2026-08-25 14:20:07,Tina,Face Present,Student returned after 0.7 seconds
2026-08-25 14:20:10,Tina,Face Absent,No face detected
2026-08-25 14:20:22,Tina,Face Present,Student returned after 5.3 seconds
2026-08-25 14:20:31,Tina,Face Absent,No face detected
2026-08-25 14:20:41,Tina,Face Present,Student returned after 9.1 seconds
2026-08-25 14:20:46,Tina,Face Absent,No face detected
2026-08-25 14:20:54,Tina,Face Present,Student returned after 10.4 seconds
2026-08-25 14:21:04,Tina,Face Absent,No face detected
2026-08-25 14:21:11,Tina,Face Present,Student returned after 8.5 seconds
2026-08-25 14:22:09,Tina,Face Absent,No face detected
2026-08-25 14:22:11,Tina,Face Present,Student returned after 3.8 seconds
2026-08-25 14:22:44,Tina,Multiple Faces,More than one face detected
2026-08-25 14:22:50,Tina,Multiple Faces,More than one face detected
2026-08-25 14:23:04,Tina,Face Absent,No face detected
2026-08-25 14:30:49,Tina,Tab Switched,Browser Activity
2026-08-25 14:31:06,Tina,Face Absent,No face detected
2026-08-26 09:02:31,Tina,Tab Switched,Browser Activity
2026-08-26 09:03:57,Tina,Tab Switched,Browser Activity
2026-08-26 09:04:12,Tina,Tab Switched,Browser Activity
2026-08-26 09:04:55,Tina,Tab Switched,Browser Activity
2026-08-26 09:06:04,Tina,Returned to Exam,Browser Activity
2026-08-26 09:06:06,Tina,Tab Switched,Browser Activity
2026-08-26 09:53:25,Gia,Tab Switched,Browser Activity
2026-08-26 09:54:17,Gia,Tab Switched,Browser Activity
2026-08-26 19:04:53,Gia,Tab Switched,Browser Activity
2026-08-26 19:05:55,Gia,Tab Switched,Browser Activity
2026-08-26 19:06:06,Gia,Returned to Exam,Browser Activity
2026-08-26 19:06:08,Gia,Tab Switched,Browser Activity
2026-08-26 19:06:10,Gia,Returned to Exam,Browser Activity
2026-08-26 19:06:43,Gia,Tab Switched,Browser Activity
2026-08-26 19:58:45,Gia,Tab Switched,Browser Activity
2026-08-26 19:59:09,Gia,Tab Switched,Browser Activity
2026-08-26 19:59:11,Gia,Returned to Exam,Browser Activity
2026-08-26 19:59:12,Gia,Tab Switched,Browser Activity
2026-08-26 19:59:29,Gia,Returned to Exam,Browser Activity
2026-08-26 19:59:31,Gia,Tab Switched,Browser Activity
2026-08-26 23:06:42,Gia,Tab Switched,Browser Activity
2026-08-26 23:06:58,Gia,Face Absent,No face detected
2026-08-26 23:07:41,Gia,Tab Switched,Browser Activity
2026-08-26 23:09:09,Gia,Tab Switched,Browser Activity
2026-08-26 23:09:28,Gia,Returned to Exam,Browser Activity
2026-08-26 23:09:40,Tina,Tab Switched,Browser Activity
2026-08-26 23:09:57,Tina,Returned to Exam,Browser Activity
2026-08-26 23:10:00,Tina,Tab Switched,Browser Activity
